Location,Time,PopMale,PopFemale,PopTotal,PopDensity
Côte d'Ivoire,2019,12974.206,12742.348,25716.554,80.87
Dem. People's Republic of Korea,2019,12552.762,13113.396,25666.158,213.156
Democratic Republic of the Congo,2019,43319.103,43471.465,86790.568,38.283
Denmark,2019,2869.672,2902.205,5771.877,136.033
Denmark (and dependencies),2019,2924.819,2952.395,5877.214,12.938
Djibouti,2019,511.947,461.61,973.557,42
Dominica,2019,,,71.808,95.744
Dominican Republic,2019,5366.198,5372.759,10738.957,222.247
ECE: North America-2,2019,181389.837,185086.118,366475.955,20.091
ECE: UNECE-52,2019,632408.121,664084.475,1296492.596,28.632
ECLAC: Latin America,2019,312928.255,323144.531,636072.786,32.41
ECLAC: The Caribbean,2019,5873.211,6171.587,12044.798,24.015
ESCAP region: East and North-East Asia,2019,841092.913,807744.326,1648837.239,143.066
ESCAP region: North and Central Asia,2019,112163.199,123923.381,236086.58,11.525
ESCAP region: Pacific,2019,21081.501,21033.781,42115.282,4.963
ESCAP region: South and South-West Asia,2019,1030665.74,970975.263,2001641.003,279.178
ESCAP region: South-East Asia,2019,330672.968,331338.878,662011.846,152.513
ESCAP: ADB Developing member countries (DMCs),2019,2062539.087,1967041.345,4029580.432,163.321
ESCAP: ADB Group A (Concessional assistance only),2019,79684.284,83282.455,162966.739,71.714
ESCAP: ADB Group B (OCR blend),2019,927234.097,865089.27,1792323.367,283.533
ESCAP: ADB Group C (Regular OCR only),2019,1055620.706,1018669.62,2074290.326,129.007
ESCAP: ASEAN,2019,330019.461,330699.265,660718.726,152.738
ESCAP: Central Asia,2019,44560.259,45654.061,90214.32,21.964
ESCAP: ECO,2019,255304.154,248906.25,504210.404,64.383
ESCAP: HDI groups,2019,2335676.321,2255015.629,4590691.95,88.272
ESCAP: Landlocked countries (LLDCs),2019,80825.188,83200.558,164025.746,24.641
ESCAP: Least Developed Countries (LDCs),2019,154356.191,156197.054,310553.245,149.233
ESCAP: Pacific island dev. econ.,2019,6179.028,5949.992,12129.02,22.432
ESCAP: SAARC,2019,947602.141,887695.362,1835297.503,384.631
ESCAP: WB High income econ.,2019,109894.676,113288.762,223183.438,26.452
ESCAP: WB Low income econ.,2019,45129.442,47187.188,92316.63,100.714
ESCAP: WB Lower middle income econ.,2019,1224316.923,1163178.302,2387495.225,231.624
ESCAP: WB Upper middle income econ.,2019,956325.88,931351.616,1887677.496,58.363
ESCAP: WB income groups,2019,2335666.921,2255005.868,4590672.789,88.273
ESCAP: high HDI,2019,109605.67,113004.962,222610.632,26.453
ESCAP: high income,2019,109718.304,113117.872,222836.176,26.423
ESCAP: income groups,2019,2335676.321,2255015.629,4590691.95,88.272
ESCAP: low HDI,2019,985163.494,926572.122,1911735.616,297.845
ESCAP: low income,2019,1065375.937,1007654.092,2073030.029,277.71
ESCAP: lower middle HDI,2019,1047473.76,1010411.519,2057885.279,135.973
ESCAP: lower middle income,2019,290199.09,290069.186,580268.276,88.732
ESCAP: other Asia-Pacific countries/areas,2019,105881.234,91599.816,197481.05,50.882
ESCAP: upper middle HDI,2019,193433.397,205027.026,398460.423,18.081
ESCAP: upper middle income,2019,870382.99,844174.479,1714557.469,57.986
ESCWA: Arab countries,2019,221900.697,206265.692,428166.389,32.909
ESCWA: Arab least developed countries,2019,46993.436,46774.775,93768.211,23.583
ESCWA: Gulf Cooperation Council countries,2019,35586.159,22108.2,57694.359,22.423
ESCWA: Maghreb countries,2019,49063.328,48933.666,97996.994,20.662
ESCWA: Mashreq countries,2019,90257.774,88449.051,178706.825,103.994
ESCWA: member countries,2019,191509.678,176336.303,367845.981,36.872
East African Community (EAC),2019,94371.773,95696.871,190068.644,82.066
Eastern Africa,2019,215283.757,218621.186,433904.943,65.078
Eastern Asia,2019,852917.036,819694.084,1672611.12,144.684
Eastern Europe,2019,138023.995,155420.926,293444.921,16.255
Eastern European Group,2019,160876.43,179437.258,340313.688,18.217
Eastern and South-Eastern Asia,2019,1183590.004,1151032.962,2334622.966,146.821
Economic Community of Central African States (ECCAS),2019,98896.363,99569.579,198465.942,30.313
Economic Community of West African States (ECOWAS),2019,194712.077,192196.311,386908.388,76.875
Economic Cooperation Organization (ECO),2019,255304.154,248906.25,504210.404,64.383
Ecuador,2019,8690.487,8683.17,17373.657,69.954
Egypt,2019,50722.599,49665.477,100388.076,100.847
El Salvador,2019,3023.353,3430.197,6453.55,311.465
Equatorial Guinea,2019,753.823,602.159,1355.982,48.342
Eritrea,2019,1752.711,1744.406,3497.117,34.625
Estonia,2019,626.626,699.023,1325.649,31.273
Eswatini,2019,562.79,585.343,1148.133,66.752
Ethiopia,2019,56069.008,56009.719,112078.727,112.079
Eurasian Economic Community (Eurasec),2019,105324.578,117270.108,222594.686,11.109
Europe,2019,360711.588,386471.227,747182.815,33.756
Europe,2019,360711.588,386471.227,747182.815,33.756
Europe (48),2019,360711.588,386471.227,747182.815,33.756
Europe and Northern America,2019,542163.891,571619.868,1113783.759,27.308
European Community (EC: 12),2019,188353.435,195716.561,384069.996,164.88
European Free Trade Agreement (EFTA),2019,7166.517,7180.76,14347.277,28.4
European Union (EU: 15),2019,200515.622,208078.032,408593.654,130.707
European Union (EU: 28),2019,250845.723,261671.206,512516.929,120.883
Falkland Islands (Malvinas),2019,,,3.372,0.277
Faroe Islands,2019,,,48.677,34.869
Fiji,2019,450.959,438.996,889.955,48.711
Finland,2019,2727.21,2804.949,5532.159,18.204
France,2019,31524.494,33605.237,65129.731,118.946
France (and dependencies),2019,32902.008,35076.39,67978.398,103.357
French Guiana,2019,143.766,147.057,290.823,3.538
French Polynesia,2019,141.492,137.793,279.285,76.307
Gabon,2019,1106.192,1066.386,2172.578,8.432
Gambia,2019,1164.364,1183.332,2347.696,231.986
Georgia,2019,1905.743,2091.019,3996.762,57.516
Germany,2019,41249.115,42267.931,83517.046,239.606
Ghana,2019,15416.086,15001.772,30417.858,133.681
Gibraltar,2019,,,33.706,3370.6
Greater Arab Free Trade Area (GAFTA),2019,210987.501,195385.836,406373.337,35.875
Greece,2019,5140.52,5332.932,10473.452,81.253
Greenland,2019,,,56.66,0.138
Grenada,2019,56.426,55.576,112.002,329.418
Group of 77 (G77),2019,3081556.65,2978538.312,6060094.962,81.595
Group of Eight (G8),2019,446529.166,469406.378,915935.544,25.153
Group of Seven (G7),2019,378926.226,391137.058,770063.284,38.431
Group of Twenty (G20) - member states,2019,2344548.037,2278305.169,4622853.206,61.199
Guadeloupe,2019,184.686,215.362,400.048,245.73
Guam,2019,84.437,82.858,167.295,309.806
Guatemala,2019,8659.95,8921.526,17581.476,164.068
Guinea,2019,6166.075,6605.171,12771.246,51.975
Guinea-Bissau,2019,938.863,982.054,1920.917,68.311
Gulf Cooperation Council (GCC),2019,35586.159,22108.2,57694.359,22.423
Guyana,2019,393.271,389.504,782.775,3.977
Haiti,2019,5557.596,5705.483,11263.079,408.675
High-income countries,2019,626227.58,631815.904,1258043.484,33.206
Holy See,2019,,,0.815,1852.273
Honduras,2019,4868.994,4877.121,9746.115,87.104
Hungary,2019,4608.25,5076.43,9684.68,106.978
Iceland,2019,170.23,168.807,339.037,3.382
India,2019,710129.572,656288.184,1366417.756,459.58
Indonesia,2019,136269.761,134355.806,270625.567,149.387
Iran (Islamic Republic of),2019,41889.89,41024.003,82913.893,50.913
Iraq,2019,19891.814,19417.975,39309.789,90.509
Ireland,2019,2422.418,2460.08,4882.498,70.874
Isle of Man,2019,,,84.589,148.402
Israel,2019,4237.327,4282.046,8519.373,393.686
Italy,2019,29461.035,31089.057,60550.092,205.855
Jamaica,2019,1463.72,1484.557,2948.277,272.232
Japan,2019,61950.31,64909.989,126860.299,347.987
Jordan,2019,5113.215,4988.482,10101.697,113.783
Kazakhstan,2019,8999.754,9551.674,18551.428,6.872
Kenya,2019,26122.382,26451.585,52573.967,92.374
Kiribati,2019,57.822,59.786,117.608,145.195
Kuwait,2019,2563.055,1644.022,4207.077,236.087
Kyrgyzstan,2019,3173.902,3241.949,6415.851,33.451
LLDC: Africa,2019,165093.74,167168.748,332262.488,39.827
LLDC: Asia,2019,80825.188,83200.558,164025.746,24.641
LLDC: Europe,2019,2980.153,3146.563,6126.716,105.506
LLDC: Latin America,2019,9360.499,9197.242,18557.741,12.534
Land-locked Countries,2019,288538.949,294801.328,583340.277,33.976
Land-locked Countries (Others),2019,30279.369,32088.217,62367.586,98.771
Land-locked Developing Countries (LLDC),2019,258259.58,262713.111,520972.691,31.502
Lao People's Democratic Republic,2019,3599.028,3570.428,7169.456,31.064
Latin America and the Caribbean,2019,318803.128,329317.828,648120.956,32.182
Latin America and the Caribbean,2019,318803.128,329317.828,648120.956,32.182
Latin American Integration Association (ALADI),2019,279703.641,288992.904,568696.545,29.715
Latin American and Caribbean Group (GRULAC),2019,316600.441,326873.734,643474.175,32.125
Latvia,2019,877.948,1028.792,1906.74,30.655
"League of Arab States (LAS, informal name: Arab League)",2019,221900.697,206265.692,428166.389,32.909
Least developed countries,2019,513951.412,519437.456,1033388.868,51.315
Least developed: Africa,2019,339345.341,343065.281,682410.622,38.991
Least developed: Asia,2019,168492.352,170123.849,338616.201,131.863
Least developed: Latin America and the Caribbean,2019,5557.596,5705.483,11263.079,408.675
Least developed: Oceania,2019,556.123,542.843,1098.966,26.791
Lebanon,2019,3449.246,3406.463,6855.709,670.157
Lesotho,2019,1047.944,1077.323,2125.267,70.002
Less developed regions,2019,3270017.937,3172819.948,6442837.885,79.544
"Less developed regions, excluding China",2019,2518843.362,2458360.347,4977203.709,69.541
"Less developed regions, excluding least developed countries",2019,2756066.525,2653382.492,5409449.017,88.885
Less developed: Africa,2019,653513.68,654550.496,1308064.176,44.119
Less developed: Asia,2019,2291515.935,2182995.032,4474510.967,145.899
Less developed: Latin America and the Caribbean,2019,318803.128,329317.828,648120.956,32.182
Less developed: Oceania,2019,6185.194,5956.592,12141.786,22.449
Liberia,2019,2481.116,2456.258,4937.374,51.26
Libya,2019,3422.619,3354.834,6777.453,3.852
Liechtenstein,2019,,,38.02,237.625
Lithuania,2019,1276.477,1483.154,2759.631,44.032
Low-income countries,2019,375045.225,380804.516,755849.741,50.919
Lower-middle-income countries,2019,1559059.913,1498648.971,3057708.884,142.498
Luxembourg,2019,311.11,304.62,615.73,237.734
Madagascar,2019,13452.929,13516.377,26969.306,46.355
Malawi,2019,9185.278,9443.471,18628.749,197.59
Malaysia,2019,16423.164,15526.625,31949.789,97.245
Maldives,2019,336.07,194.887,530.957,1769.857
Mali,2019,9844.537,9813.486,19658.023,16.111
Malta,2019,220.783,219.594,440.377,1376.178
Marshall Islands,2019,,,58.791,326.617
Martinique,2019,172.972,202.585,375.557,354.299
Mauritania,2019,2271.843,2253.855,4525.698,4.391
Mauritius,2019,626.971,642.699,1269.67,625.453
Mayotte,2019,130.865,135.288,266.153,709.741
Melanesia,2019,5565.816,5352.718,10918.534,20.617
Mexico,2019,62403.393,65172.136,127575.529,65.627
Micronesia,2019,274.614,268.869,543.483,171.446
Micronesia (Fed. States of),2019,57.867,55.944,113.811,162.587
Middle Africa,2019,86971.289,87337.138,174308.427,26.83
Middle-income countries,2019,2886342.656,2810324.658,5696667.314,73.986
Monaco,2019,,,38.967,26152.349
Mongolia,2019,1589.932,1635.234,3225.166,2.076
Montenegro,2019,310.506,317.482,627.988,46.691
Montserrat,2019,,,4.991,49.91
More developed regions,2019,619016.674,651613.646,1270630.32,25.88
More developed: Asia,2019,61950.31,64909.989,126860.299,347.987
More developed: Europe,2019,360711.588,386471.227,747182.815,33.756
More developed: Northern America,2019,181452.303,185148.641,366600.944,19.655
More developed: Oceania,2019,14902.473,15083.789,29986.262,3.774
Morocco,2019,18093.063,18378.703,36471.766,81.72
Mozambique,2019,14745.851,15620.192,30366.043,38.615
Myanmar,2019,26044.666,28000.756,54045.422,82.728
Namibia,2019,1208.862,1285.662,2494.524,3.03
Nauru,2019,,,10.764,538.2
Nepal,2019,13046.953,15561.762,28608.715,199.572
Netherlands,2019,8514.835,8582.288,17097.123,507.032
Netherlands (and dependencies),2019,8674.191,8761.037,17435.228,502.369
New Caledonia,2019,142.226,140.531,282.757,15.468
New EU member states (joined since 2004),2019,50330.101,53593.174,103923.275,93.31
New Zealand,2019,2351.162,2431.9,4783.062,18.165
New Zealand (and dependencies),2019,2361.203,2442.35,4803.553,18.208
Nicaragua,2019,3225.984,3319.519,6545.503,54.392
Niger,2019,11714.461,11596.258,23310.719,18.403
Nigeria,2019,101831.874,99131.729,200963.603,220.652
Niue,2019,,,1.614,6.208
No income group available,2019,1419.15,1488.516,2907.666,7.907
Non-Self-Governing Territories,2019,878.128,853.573,1731.701,5.712
North American Free Trade Agreement (NAFTA),2019,243793.23,250258.254,494051.484,24.476
North Atlantic Treaty Organization (NATO),2019,462668.917,477935.264,940604.181,41.107
North Macedonia,2019,1042.305,1041.153,2083.458,82.611
Northern Africa,2019,121478.638,120302.127,241780.765,31.119
Northern Africa and Western Asia,2019,265615.435,251490.123,517105.558,41.123
Northern America,2019,181452.303,185148.641,366600.944,19.655
Northern America,2019,181452.303,185148.641,366600.944,19.655
Northern Europe,2019,52217.032,53551.5,105768.532,62.128
Northern Mariana Islands,2019,,,57.213,124.376
Norway,2019,2716.812,2662.047,5378.859,14.726
Oceania,2019,21087.667,21040.381,42128.048,4.964
Oceania (excluding Australia and New Zealand),2019,6185.194,5956.592,12141.786,22.449
Oman,2019,3284.448,1690.544,4974.992,16.074
Organisation for Economic Co-operation and Development (OECD),2019,643413.27,664303.372,1307716.642,37.94
Organization for Security and Co-operation in Europe (OSCE),2019,629855.249,661531.952,1291387.201,27.586
Organization of American States (OAS),2019,497990.278,511959.852,1009950.13,26.389
Organization of Petroleum Exporting countries (OPEC),2019,260927.123,246960.65,507887.773,41.057
Organization of the Islamic Conference (OIC),2019,950183.428,922658.895,1872842.323,60.068
Pakistan,2019,111447.581,105117.736,216565.317,280.933
Palau,2019,,,18.001,39.133
Panama,2019,2126.434,2120.006,4246.44,57.122
Papua New Guinea,2019,4480.011,4296.108,8776.119,19.379
Paraguay,2019,3580.888,3463.751,7044.639,17.731
Peru,2019,16148.241,16362.221,32510.462,25.399
Philippines,2019,54316.072,53800.55,108116.622,362.601
Poland,2019,18360.539,19527.232,37887.771,123.723
Polynesia,2019,344.764,335.005,679.769,84.026
Portugal,2019,4836.674,5389.504,10226.178,111.652
Puerto Rico,2019,1391.966,1541.438,2933.404,330.711
Qatar,2019,2133.521,698.55,2832.071,243.934
Republic of Korea,2019,25649.457,25575.864,51225.321,526.847
Republic of Moldova,2019,1937.848,2105.41,4043.258,123.082
Romania,2019,9418.287,9946.271,19364.558,84.132
Russian Federation,2019,67602.94,78269.32,145872.26,8.907
Rwanda,2019,6206.086,6420.852,12626.938,511.834
Réunion,2019,430.284,458.648,888.932,355.573
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",2019,8421.2,7569.584,15990.784,37.205
SIDS Caribbean,2019,21387.879,21921.144,43309.023,191.904
SIDS Pacific,2019,6179.028,5949.992,12129.02,22.432
Saint Barthélemy,2019,,,9.853,447.864
Saint Helena,2019,,,6.061,15.541
Saint Kitts and Nevis,2019,,,52.834,203.208
Saint Lucia,2019,90.021,92.774,182.795,299.664
Saint Martin (French part),2019,,,38.002,717.019
Saint Pierre and Miquelon,2019,,,5.821,25.309
Saint Vincent and the Grenadines,2019,56.097,54.496,110.593,283.572
Samoa,2019,102.004,95.089,197.093,69.644
San Marino,2019,,,33.864,564.4
Sao Tome and Principe,2019,107.611,107.437,215.048,224.008
Saudi Arabia,2019,19783.532,14484.997,34268.529,15.941
Senegal,2019,7946.433,8349.929,16296.362,84.643
Serbia,2019,4297.444,4474.784,8772.228,100.3
Seychelles,2019,50.167,47.574,97.741,212.48
Shanghai Cooperation Organization (SCO),2019,1658126.077,1571782.965,3229909.042,97.977
Sierra Leone,2019,3898.35,3914.857,7813.207,108.246
Singapore,2019,3038.226,2766.117,5804.343,8291.919
Sint Maarten (Dutch part),2019,,,42.389,1246.735
Slovakia,2019,2656.513,2800.499,5457.012,113.48
Slovenia,2019,1034.684,1043.97,2078.654,103.21
Small Island Developing States (SIDS),2019,35988.107,35440.72,71428.827,59.714
Solomon Islands,2019,340.582,329.239,669.821,23.931
Somalia,2019,7700.196,7742.71,15442.906,24.616
South Africa,2019,28859.302,29698.965,58558.267,48.272
South America,2019,210376.84,216822.585,427199.425,24.466
South Asian Association for Regional Cooperation (SAARC),2019,947602.141,887695.362,1835297.503,384.631
South Sudan,2019,5536.53,5525.584,11062.114,18.106
South-Eastern Asia,2019,330672.968,331338.878,662011.846,152.513
Southern Africa,2019,32793.014,33836.88,66629.894,25.137
Southern African Development Community (SADC),2019,175154.49,178785.639,353940.129,36.688
Southern Asia,2019,989492.031,928719.365,1918211.396,299.715
Southern Common Market (MERCOSUR),2019,150652.191,155713.304,306365.495,22.473
Southern Europe,2019,74451.62,77995.33,152446.95,117.727
Spain,2019,22960.648,23776.134,46736.782,93.698
Sri Lanka,2019,10233.415,11090.319,21323.734,340.037
State of Palestine,2019,2526.35,2455.072,4981.422,827.479
Sub-Saharan Africa,2019,532035.042,534248.369,1066283.411,48.735
Sudan,2019,21387.956,21425.281,42813.237,24.256
Suriname,2019,292.255,289.108,581.363,3.727
Sweden,2019,5025.597,5010.794,10036.391,24.459
Switzerland,2019,4260.661,4330.7,8591.361,217.415
Syrian Arab Republic,2019,8554.55,8515.582,17070.132,92.959
Tajikistan,2019,4697.953,4623.07,9321.023,66.598
Thailand,2019,33904.846,35720.735,69625.581,136.283
Timor-Leste,2019,653.507,639.613,1293.12,86.962
Togo,2019,4020.646,4061.713,8082.359,148.6
Tokelau,2019,,,1.33,133
Tonga,2019,52.286,52.211,104.497,145.135
Trinidad and Tobago,2019,688.982,705.987,1394.969,271.924
Tunisia,2019,5797.98,5896.741,11694.721,75.275
Turkey,2019,41173.709,42255.898,83429.607,108.402
Turkmenistan,2019,2925.688,3016.406,5942.094,12.645
Turks and Caicos Islands,2019,,,38.194,40.204
Tuvalu,2019,,,11.655,388.5
UN-ECE: member countries,2019,632502.267,664178.326,1296680.593,28.636
UNFPA Regions,2019,3220255.434,3138544.844,6358800.278,80.319
UNFPA: Arab States (AS),2019,186897.933,183172.5,370070.433,38.095
UNFPA: Asia and the Pacific (AP),2019,2072422.931,1975526.176,4047949.107,181.404
UNFPA: East and Southern Africa (ESA),2019,298317.194,303164.221,601481.415,49.391
UNFPA: Eastern Europe and Central Asia (EECA),2019,120874.085,127296.749,248170.834,42.183
UNFPA: Latin America and the Caribbean (LAC),2019,316851.964,327149.879,644001.843,32.147
UNFPA: West and Central Africa (WCA),2019,224891.327,222235.319,447126.646,49.424
UNICEF PROGRAMME REGIONS,2019,3266652.233,3173891.64,6440543.873,78.708
UNICEF Programme Regions: East Asia and Pacific (EAPRO),2019,1082930.9,1046806.811,2129737.711,133.824
UNICEF Programme Regions: Eastern Caribbean,2019,1183.379,1213.848,2397.227,248.675
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),2019,262071.316,266792.767,528864.083,50.194
UNICEF Programme Regions: Europe and Central Asia (CEECIS),2019,135992.947,143300.849,279293.796,44.393
UNICEF Programme Regions: Latin America,2019,315271.782,325503.77,640775.552,32.019
UNICEF Programme Regions: Latin America and Caribbean (LACRO),2019,316455.161,326717.618,643172.779,32.124
UNICEF Programme Regions: Middle East and North Africa (MENARO),2019,253389.338,236871.449,490260.787,37.773
UNICEF Programme Regions: South Asia (ROSA),2019,947602.141,887695.362,1835297.503,384.631
UNICEF Programme Regions: West and Central Africa (WCARO),2019,268210.43,265706.784,533917.214,47.192
UNICEF REGIONS,2019,3889034.611,3824433.594,7713468.205,59.291
UNICEF Regions: East Asia and Pacific,2019,1204677.671,1172073.343,2376751.014,97.457
UNICEF Regions: Eastern Europe and Central Asia,2019,203595.887,221570.169,425166.056,18.756
UNICEF Regions: Eastern and Southern Africa,2019,285209.506,289963.867,575173.373,46.649
UNICEF Regions: Europe and Central Asia,2019,447044.853,474980.463,922025.316,34.122
UNICEF Regions: Latin America and Caribbean,2019,318803.128,329317.828,648120.956,32.182
UNICEF Regions: Middle East and North Africa,2019,236031.517,219544.307,455575.824,39.689
UNICEF Regions: North America,2019,181452.303,185148.641,366600.944,19.655
UNICEF Regions: South Asia,2019,947602.141,887695.362,1835297.503,384.631
UNICEF Regions: Sub-Saharan Africa,2019,553422.998,555673.65,1109096.648,46.908
UNICEF Regions: West and Central Africa,2019,268213.492,265709.783,533923.275,47.191
UNICEF Regions: Western Europe,2019,243448.966,253410.294,496859.26,114.143
UNITED NATIONS Regional Groups of Member States,2019,3886203.129,3821700.381,7707903.418,59.373
Uganda,2019,21807.166,22462.421,44269.587,221.558
Ukraine,2019,20379.023,23614.62,43993.643,75.94
United Arab Emirates,2019,6766.806,3003.72,9770.526,116.872
United Kingdom,2019,33351.435,34178.726,67530.161,279.131
United Kingdom (and dependencies),2019,33605.728,34439.971,68045.699,264.934
United Nations Economic Commission for Africa (UN-ECA),2019,652644.714,653675.858,1306320.572,44.464
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),2019,318801.466,329316.118,648117.584,32.201
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,2019,2335676.321,2255015.629,4590691.95,88.272
United Nations Member States,2019,3886203.129,3821700.381,7707903.51,59.373
United Republic of Tanzania,2019,28980.621,29024.84,58005.461,65.484
